HGNC ID	Approved Symbol	UniProt ID(supplied by UniProt)
HGNC:5	A1BG	P04217
HGNC:37133	A1BG-AS1	
HGNC:24086	A1CF	Q9NQ94
HGNC:7	A2M	P01023
HGNC:27057	A2M-AS1	
HGNC:23336	A2ML1	A8K2U0
HGNC:41022	A2ML1-AS1	
HGNC:41523	A2ML1-AS2	
HGNC:8	A2MP1	
HGNC:30005	A3GALT2	
HGNC:18149	A4GALT	Q9NPC4
HGNC:17968	A4GNT	Q9UNA3
HGNC:13666	AAAS	Q9NRG9
HGNC:21298	AACS	Q86V21
HGNC:18226	AACSP1	
HGNC:17	AADAC	P22760
HGNC:24427	AADACL2	Q6P093
HGNC:50301	AADACL2-AS1	
HGNC:32037	AADACL3	Q5VUY0
HGNC:32038	AADACL4	Q5VUY2
HGNC:50305	AADACP1	
HGNC:17929	AADAT	Q8N5Z0
HGNC:16881	AAED1	Q7RTV5
HGNC:25662	AAGAB	Q6PD74
HGNC:19679	AAK1	Q2M2I8
HGNC:30205	AAMDC	Q9H7C9
HGNC:18	AAMP	Q13685
HGNC:19	AANAT	Q16613
HGNC:15886	AAR2	Q9Y312
HGNC:33842	AARD	Q4LEZ3
HGNC:20	AARS	P49588
HGNC:21022	AARS2	Q5JTZ9
HGNC:28417	AARSD1	Q9BTE6
HGNC:49894	AARSP1	
HGNC:23993	AASDH	Q4L235
HGNC:14235	AASDHPPT	Q9NRN7
HGNC:17366	AASS	Q9UDR5
HGNC:51526	AATBC	
HGNC:19235	AATF	Q9NY61
HGNC:21	AATK	Q6ZMQ8
HGNC:40053	AATK-AS1	
HGNC:22	AAVS1	
HGNC:49667	ABALON	
HGNC:23	ABAT	P80404
HGNC:29	ABCA1	O95477
HGNC:32	ABCA2	Q9BZC7
HGNC:33	ABCA3	Q99758
HGNC:34	ABCA4	P78363
HGNC:35	ABCA5	Q8WWZ7
HGNC:36	ABCA6	Q8N139
HGNC:37	ABCA7	Q8IZY2
HGNC:38	ABCA8	O94911
