Entry	Cross-reference (Pfam)
P20848	PF00079;
Q9UNA3	PF04572;PF04488;
Q8N5Z0	PF00155;
Q2M2I8	PF00069;
O43741	PF16561;PF04739;
Q9UGI9	PF00571;
Q9Y312	PF05282;
Q9UDR5	PF05222;PF16653;PF03435;
Q6PCB6	PF12146;
Q6NTF7	PF08210;
Q99758	PF00005;
Q86UK0	PF00005;
O75027	PF00664;PF00005;
Q09428	PF00664;PF00005;
P33897	PF06472;PF00005;
P61221	PF00005;PF00037;PF04068;
Q0P651	PF09752;
Q9Y235	PF08210;
Q8WW27	PF08210;
Q9BUJ0	PF12697;
Q9P2A4	PF07815;PF14604;
Q12979	PF00168;PF00169;PF00620;PF00621;
Q969K4	PF12796;PF00651;
P11230	PF02931;PF02932;
O94805	PF00022;
P08912	PF00001;
Q96CM8	PF00501;PF13193;
P0C7M7	PF00501;PF13193;
Q9H6R3	PF16177;PF00501;PF13193;
Q562R1	PF00022;
O14672	PF00200;PF01562;
O43184	PF08516;PF00200;PF01562;PF01421;
Q13444	PF08516;PF00200;PF01562;PF01421;
P08913	PF00001;
P18089	PF00001;
Q9H2U9	PF08516;PF00200;PF01562;PF01421;
P78325	PF08516;PF00200;PF01562;PF01421;
O75689	PF01412;PF00169;
O00116	PF02913;PF01565;
Q5VUY0	PF07859;
O60266	PF16214;PF00211;
Q8NFM4	PF16214;PF06327;PF00211;
O60503	PF00211;
Q96PN6	PF00211;
Q9UEY8	PF00596;
O15204	PF01562;PF01421;
P08319	PF08240;PF00107;
Q9BRR6	PF04587;
Q8IUX7	PF00754;PF00246;
P26439	PF01073;
P11171	PF05902;PF08736;PF09380;PF00373;PF09379;PF04382;
Q13541	PF05456;
Q9UGJ0	PF00571;
Q13131	PF16579;PF00069;
O94929	PF16182;PF00412;PF02209;
P12821	PF01401;
Q9GZZ6	PF02931;PF02932;
Q15822	PF02931;PF02932;
Q15825	PF02931;PF02932;
P36544	PF02931;PF02932;
P30926	PF02931;PF02932;
Q07001	PF02931;PF02932;
Q9NPB9	PF00001;
O96019	PF00022;
